topic,date,time,place,url,date published
accident,2023-03-23,13:00:00,"{""Patna"", ""Bihar"", ""India""}",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvcGF0bmEveW91dGgtZGllc2FzLXN1di1oaXRzLWJpa2UtaW4tY2l0eS9hcnRpY2xlc2hvdy85ODk1NjczNy5jbXPSAWVodHRwczovL20udGltZXNvZmluZGlhLmNvbS9jaXR5L3BhdG5hL3lvdXRoLWRpZXNhcy1zdXYtaGl0cy1iaWtlLWluLWNpdHkvYW1wX2FydGljbGVzaG93Lzk4OTU2NzM3LmNtcw?oc=5&hl=en-US&gl=US&ceid=US:en,Fri 24 Mar 2023 07:00:00
accident,2022-12-02,11:00:00,"{""Sydney"", ""NewSouthWales"", ""Australia""}",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTExNDk2NTg1L0FuemFjLUJyaWRnZS1TeWRuZXktVHdvLWRyaXZlcnMta2lsbGVkLXN0b3BwZWQtZXhjaGFuZ2UtZGV0YWlscy1mb2xsb3dpbmctY3Jhc2guaHRtbNIBigFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTExNDk2NTg1L2FtcC9BbnphYy1CcmlkZ2UtU3lkbmV5LVR3by1kcml2ZXJzLWtpbGxlZC1zdG9wcGVkLWV4Y2hhbmdlLWRldGFpbHMtZm9sbG93aW5nLWNyYXNoLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,Fri 2 Dec 2022 08:00:00
